x_test,future
"[145 160 162  11 124 172 126  17 162 172 124 126  11  28 172 171  15  11
 145 123  52 180 171  15 145 171 160  38 171  89   2 171]",[ 56 172  28  42 172  93  56 171]
"[ 92  50  92  37  99 155  97  28  17  28  97  28  97  28  17  28  97  42
 127 123  28  92  28 123  28 123  28  92  28 123  42 127]",[160 162 123  11  42 171  89  11]
"[  2 126  46  50  56  42  22  92 169  37 145  15  42 123 145  15 170  89
  50  47 170  89  50  47  92 113  50  47 170  44 169 100]",[165  22 113  76  97  46  47   2]
"[153 170  93  52 171  93  22  76 107  22 160  76  56 160   2  21  30  21
 123  21 123  30 123 123  30 123 123 150  30 122 123  21]",[123   2 131  56 123  76  22 123]
"[116 125 116 173 159 173 161 150 116 131 159 131 159  38  56 169 159   2
  56 157  71  42 171  71 114  31 171  71 162  50  22 171]",[126 180  57 126 180 178 126 180]
"[129  55 129  55 129  55 129  55 129  55 143 130  55 129  55 129  55 129
  55 129  55 129  60 144 130  60 130  60 129  55  60 144]",[144 129  55 129  55 129  55  60]
"[ 46 171  92  46  21  46 171  92  46  21  46 171 180  46 142   2 169 180
   2  21  46  22  89  46  21  76 172  89  76  21  92  46]",[ 46 168  50  21  22  21  80 170]
"[ 38 142  71  21  38  58  46  21 120  38  46   8  38  21 120  38  46   8
  38  46  90  76 162 120  76 162 103 172 171  90 172 171]",[ 52 145 117  52 171  18  52 145]
"[ 97 105  47 155 120 155 120 155 120 155 120 155  71  18   8  44  89  44
  89  44  89  44  89  44  37 100  17 165 159 159 159 159]",[ 90 116 116 120 120  10  10  10]
"[ 93  40  18  60 155 156 105 156 100 105 100  55 156  24  55 156  55 156
  65 156 105 156 100 105 100 156 143 100 105 144 156  91]",[165  91  88 105  88 165 105 165]
"[ 51 109  51  25   8  25   8  25 174  25 174  25 174  25 135  88 130  88
 130  88  91  98  88  98  88  86  91 144 130 144 130  88]",[ 98  88  98  88  86  91 144 130]
"[ 83  36  79  40 129  55  55  65 129  37 156  24 129  58 156  24  75  55
 156  24 129  58 156  24  75  55 156  24 129  58 156  24]",[ 75  55 156  24 148 112 112  72]
"[ 21  21  89 170  76 135   2  46  69 170 172 174  76  22  69  50 170 172
  22  50 170  47  76  46  47  52 172  99   2  46  52 172]",[ 76  76 100 170 169  55 162  76]
"[122  38 102 123  80 142 142  42 122  38 102  17  80 142  82 145 102  80
  82  17 102  80  82 169 102  80  82 145 102  80   5 120]",[144  60 144  60 144  60 144  17]
"[ 11  37  98 100  37 178  92  37 178 145  37 178  92  37  79 100  37  11
  37  50  37  11  37 108 145  79  50  40  11 169  37  79]",[47  5 28 47  5 17 47  5]
"[104  82 168  82  42 104  89  99  73 104  67  67 170 104  67  80  67 126
 104  92  42 137 104  82  82 170 104  82 168  82  42   9]",[160  95   9 110 110 171   9 110]
"[137 178  76  37 148  65 119 130 141   8  89 141 147 130 119  65 147  91
  44  86 101  53   6 130  69 113  16  69 130 119 163 111]",[148   0 119 130 118   0  53  69]
"[131  56 123  76  22 123 150 139 150  30 122 123  21   2 123  56   4 131
   4 123   4 123   4 123 123   4 123 123 170 157 171  52]",[170 123 126 153 170  93  52 171]
"[ 37  37  65  24  37  37 135  79  58  37  37  37  37  37  37  37  37  40
  37  37  37  91 129  37  37  37 129 129  65 143  55 156]",[ 40  98  87 143  53  53  53  53]
"[ 80 122  67  80  67   2 110  67  80  21  67  80   2  67  21 104  67   2
  80  21  67  80  67   2 104  67  80  21  67  80  67   2]",[ 67 168  21  59 168  59  46 104]
"[162  13  46  76  89 162  76  97 169  61  97  76  61 169  97  76  61  22
 123 171  30 169 170 123 169 113  22 169  98  22 145 133]",[170 125 171  76  21 139 168  67]
"[ 58 174 159  55  39 174 159  55  39  49  51  16 120  49  51  55  39 174
 159 109  58  60   8  29  71  60   8  77 120  19 120  50]",[ 46  77  58 159 120  39 159  19]
"[ 52  52  47 172  28  46  17 122  50  80  52  46  88 144 162 136 146 171
 135  94 171  56 145  42 145  56  38 160 123 160  42  56]",[145  56  38  15 165  15  17  46]
"[107 166  35  87 104 110 180   2 166 122 168   2  68  20 153 166 137  87
 166 137   9  35 104 110  27 110 166 102 168 139 122  21]",[ 27   2 166 162  22 171  52 170]
"[137 164  97  95 137 154 164  67 168 156 142  21  89 126  99  17  89 180
  97  89  59 113  82 147  59  82  59 104 147  59  67  47]",[119 180 168  67  84  59 110 164]
"[ 38 139 132  38  38 132  80 139 156  80 142 170 169 162  50 169 169  50
  76 162 145  76  56  42 111 111  34  34  34  34 157 157]",[ 36 178  36 150  30   7 136 133]
"[165  29 152 165 165 165 152 165 165 165  10 152 165 165 165  29 165 165
 152 165 175 100  93  70 181 124 124 123  47 124 144 181]",[124  10 127 123  18  15  13  15]
"[ 94  94  43  43  43  43 125 116 150 157  94  94  43  43  43  43 125 116
 150 157   6   6 174 174 174 174  30  30  16  16  16  16]",[ 64  30  30  30  30  34 161   4]
"[ 46 113  21   2  46  92 162  22 171  52 170 122  57 168 139 122 180  21
   2  56 162  22 162  54   2  56 162 117  22 171  52 170]",[ 50  48 170 126  50 113  11  92]
"[ 37 120  58 129   8  71 156  51  87  90 143 159  25   8  47  37  11  71
  97  99  15 120  37  11 156  51  51  51  51 143  25  51]",[ 51  25 116 143  87 120  49  87]
"[  2  38 142 139  27 168 102  27  82 164  11 176 110  82  11 176 102 168
 139 122  38   2  42 176  56  92   2 162  11   2  22  42]",[  2 171  11   2 169  92 139 177]
"[ 93 100  18  57  18   7 127   7 127 155   7  18 127  44 127   4  93   4
  93   4  93 131 113 107 124 131 113 107 124 131 113  75]",[ 75 157  75 157  30 157  30  34]
"[ 47  11  93  47  11  93  47  11 129 136  93 124 160 129 129  93 123  17
  29  29  93  47  11  68  29  93 123  17  93 123  17 116]",[123  28  88 125 123  89 160 123]
"[ 17 162  11  76  99  46  50  38 145  21 170 142 169  80 172 168  22 142
 169  38 145  56  42  76  99 172  99  44  97  89  97  89]",[172 169  99  18  97  22  37  97]
"[ 71  67  80  33 172  33  80 168  33  22 120 168  53  57 172 180  53  53
 155 172  47  53  53 127 172 123  53  88 155  93 165  47]",[120  17  33  47  37  92 116  17]
"[ 66  31  31  31  31 142  21  31  31  31  66  31 114 111 104  31  31  31
  66  31 136 101  31  76  76  56  76  89 111  66  76  89]",[ 76  66  76  89 162 162  66  46]
"[170  91 172  76  76  91  21  21  46 142 142  76  91  21  21  76 133  38
  38  76   2   2  76  46  46  88   2   2  88  46  46  16]",[  2   2  16  16  46  46  25 151]
"[ 15 100  34 175  15 100  34 175  15 100 136 175  92 100 136 175  92 100
 136 175  92 100 136 175  92 100 109 100  42  37 109 100]",[ 37  34 100 145  37  34 100 145]
"[171 150 125 150  22 105  94  32  94  32  94  32  94  32  94  32 171  32
  94  32  94  32  94  32  94  32  94  32 171 127 125 150]",[150 125 150 125 150 125 150  21]
"[ 93  42  18 169 113  52 165 145 100  52 165 170 117  52 165 172  93 171
  44 172  93  76  57 162 155  76  57   2 105  46 181   2]",[122 152  54 175  54  54 175  54]
"[126  76 180 160 126  42  22  37 126  42  22  37 126  42  76 117   2  76
 171 171  76 171 126 171  56 123  21  56 171 171 150  56]",[170 171   2  57 142   2  22  22]
"[  2  46  79  58  58  59  67  37 102 169 102  87 102 169 102  37  67 154
 169 104 135 110  59 169  67  67  37 102 169 102  87 102]",[102  37  67 169 115 110  52  67]
"[ 79  79 159 159  19  19  10  10  98  98  98  98 178 134 178 134  83  83
  83  83  83  83  83  83  83  83  83  83  83  83  83  83]",[ 19  19  19  49 156 146 132  56]
"[ 68 132 103 132  94 132 103 132  29  49 173 136  68 132 141  71 108  71
  91 151  91  97  61  97 120  19 120  49  91  15  18 180]",[  1 132  68  15  18 180  15 172]
"[138   4  30 138  51  21 123  30 136  39  30 131  16  30  16  97 128 159
  51 128  33 135 115 115 128 165 151 140 151  33 151  33]",[138  26 116  39 138  51   4 116]
"[ 47  76  17 169 124  50  47 162  37  50  79  46  71  61 161  58  40  79
  79 129 129   0  41  79  40  79  40  88 155 165 155  81]",[155 152   5   5 155 165 155 144]
"[ 17  11  17  11  17  11  42  50  47 145  15  52  28 169  37 171 160 172
  17 171 160 172  17  40  40   5  60  46  28  56  17 162]",[172  28 169  17  52  50 172 145]
"[ 42  17  80 145 142 172  47  17  50  17  21 170 142 169 124  37 170  37
  21  50 169 142  97  37 145  37  38  99 170 139 100  37]",[ 50  21  37  38  11  46  76 145]
"[161   4 131 168 123  22 131  28  22 122  28  52 129  11  52  38  93 169
  34  28 169  64 161  52 129 106  52 142  28  22 136 169]",[131 161  22 144 106 162 102  47]
"[ 52 169  42  46   8 171 172  50  38 103  22 162 145  21 159 162  76 170
 139  90   2  38 171  80  51   2  38 172 102   8   2  80]",[ 67  71  38 139  76 159 152 181]
"[ 77  95  73 151  67  67  97  95  73  61  67  67  61  95  73  61  67 104
  61  67  61  95  67 151  95 137 133  67  67  89 101  95]",[151  67  67 151  95 137 151  67]
"[ 37 159  57  58 180 103 105  97 161 155  47  58 175 100 120  39 159  33
  58  58 116  58  58 120 161 124  11  58 124   8  97  99]",[ 97  33 165  17  33 165  33 113]
"[ 22 131  92  42  52  42  92  42  92  42  52  42  92  22 131  92  42  52
  42  92  22 131  92  42  52  42  92  22  33  92 126  52]",[ 92 126  92 126  52 126  92  52]
"[169  92 162  47 144 106  56 123 118 153  46 124 144 106  56  93  42 153
  52  22  42 122 113  52  34  22  56  52   2 165 126  91]",[ 76 126  38  37  40 132 122  28]
"[151  41 151  77  20  19 151 151 151  61 151  61  92  61 147  61 147  61
 147 151 147 133   5 101  55 151 151  97 151  61 151  61]",[ 61 151  61  61 151 151 151  61]
"[146 123 114  38  22   2 146 113 114  56 162 124  26 123 126  68 180  98
 126 180  13 112  50  68  15  68 126  68 180  68 112 145]",[123  68 126  68 124  68 112 112]
"[ 52 129 162  46  52  46 181  94 124  56 127  94 123 162 155  94  47  56
 127  42 150 170 171  42 172  14  93 171  54  14 117  52]",[ 14 165 171  54 160 177  99 126]
"[ 56  17  42  80  17  42  21  17  42 122 165  50  46  17  50  59  17  50
 102  17  50 139 165  50 102  17  50 164  17  50  67  17]",[ 82 165  42  80  17  42  82  17]
"[157  80 131 173 173 139 148 112 112 139 148 112 112 112 112 112  10  29
 145 145  38 145 145 145  38  92 145  42 145  92 145  46]",[145  56  92 145  42 145  56  17]
"[160  51  97  51  97  51 160  34 161  34 161  34 161  34 161 131  39 131
  34 131  34 131  34 125  64 125  64 125  64 161   4  20]",[ 66  51  61  51   8   8 170  89]
"[127 177 170  52 159 103 127 177 170  52  71 127  62  62 136  37 160  62
 103 165  29 161  29  71  17  99  42 161  29 103 117 177]",[135  37 160 177  97  32  32 159]
"[144 122  80  88 122  38  36 122 142  53 102  80  36 142 122  53  38  80
 144  88 122  80 144 122  80  88 122  38  36 122 142  53]",[ 80  36 142 122  53  38  46 144]
"[172  28   2 172 123 122 171  15  38 145 165  56  42  28 172  11 124 171
 145 160 162  11 124 172 126  17 162 172 124 126  11  28]",[171  15 145 171  28 172 162 160]
"[172   2  99  28  76 126 172   2  89  99  76 126  38 172  15  42  56 145
 171  38  50  15 162 145 116  49 116  49 116  49 116  49]",[ 49 116  49  64  49 116  49 144]
"[ 67 149  80 113 122 149 168 113  87 149  59 113  16 147 104 113  69 147
   9 113  35 104 147  35 110 113  67 149  80 113 122 149]",[113  87 149 102 113  87 147  59]
"[131  17 129  37 100  40 175 100 124 162 100  93 143  18 143  11 106 126
 143 145  15 143  18  15 143  11  75  50 143  99 156 160]",[ 11 156  17 165 156 152 165  91]
"[ 37  75 100 104  37 132  97 164  99 132  97 164  99  49  44 164  89  49
  44 164  89  60 124  59  11  60 124  59  11 158  18  59]",[158  18  59  15  91  44  67  89]
"[ 21 170   2 126  46  50  56  42  22  92 169  37 145  15  42 123 145  15
 170  89  50  47 170  89  50  47  92 113  50  47 170  44]",[100 172 165  22 113  76  97  46]
"[ 37 171  30 160  42 170  42 160  42 160  42 170  42 160  22  98  15  42
 145 169 145  42 126 180  42 126 169 126  42  56 176  37]",[126  22 126  42 126  42 126 162]
"[ 92   2  76  99   2  22  42 176   2 171  99   2 169  92   2 139  27 168
 102  27  82 110  12 160  82 102  12 160 168 139 122  38]",[ 56 136 160 162  22 171 169 171]
"[131 109 131  69 144  34 118 162  55  55  40  55  40 165 165 165 173 165
   7 165  81  47   5  47   5  47   5  47 123  79 124 113]",[100  93 100 108  18 108  18  93]
"[ 38 142  80  81 172  80 172  80 172  38 142  80  81 172  80 172  80  56
  80  56  80  38  80  38  80 142  80 142  80 139  80 139]",[ 80 102  80 102  80 102  80 102]
"[ 22  76 171  76  99 170 171  76  99 170 125 171  51  98 170  43 171  66
  76  99 170 171  76 135  99 170  78 171  76 176  99 170]",[171  76  78   2  43   2 176  76]
"[ 80 142  80 102  58  67 102  58  67  59  58 110  59 110 104  58 154 104
  58 154 103  58   8  71   8   8 103 103  51 120  71  21]",[142  21 142 139   8 168 139   8]
"[ 76 171  76 171  33  76  76   2 170  22  56  21   2 176  56  22  56 126
 123 171  76   2  56  30  76 172  76 126 180 169  22  56]",[135  22 171 171 180  76 171  76]
"[161   4 131  64  64  30  30  30  30  34 161   4 131 168 123  22 131  28
  22 122  28  52 129  11  52  38  93 169  34  28 169  64]",[ 52 129 106  52 142  28  22 136]
"[ 34 180 161 165  28  39  34  28 116 117 160 103  30 160 161 117 160  33
   3 160  56  42 127 123  68 125 123 153 153 123 125  68]",[ 42  93  56 123 153  92  56  42]
"[139   2  76 177   2  39  38  56  22 145 178  46  90   2 162 171 126  27
 176  71 176  71 176  71 176  71 176  71 176  71 158  44]",[ 93 158 100 139 117 158 165 139]
"[ 88  46  38 144  46  38  88  46  50  47 145  15  52  28 162  11 172  17
  52  28 145  15  50  47 145  36  52  53 145  52  36 145]",[ 53 145 145  36  52 169  53  56]
"[ 79  58  79  58  58  79  79   8   8  13  13  71  71 140 140 159 159 140
 140  58  58  26  26 161 161  70  70  90  90  70  70 159]",[115 115 103 103  62  62 116 116]
"[ 99  97  99  67  97  76  99  67  97  82 123  56  42  82 123  34 123  68
 153  42  68 153 123 125 153  42 153 123 153  42  20 123]",[ 42  20 123  20  42  20 123  20]
"[126  99 160 117  99 126  39  52 126  99 103 103 123 160  42 170  42 160
 103 123  11  42 103 170  42  11  90  93 160  50 170  50]",[ 39  93  92  42 103  52  42 161]
"[ 74  33 149 161 149 161 149 159 149  51 173 116 149 161 149 161 173 159
 173 159 173 116 173  28 149  51  74  33  74  33 149 161]",[161 149 159 149  51  32 103  32]
"[ 34  80  22  34  34  76  89 170  22  99  46   2 170 172 126  21  22  69
  50 170 172  22  50 170  76  46  47  52 172  99   2  46]",[172  17  76  76 100 170 169  55]
"[ 92  24  99 145  22  99 145  22  76  99 145  22  76  99 145  22  76  99
  24 145  22  76  99  24 145  66  76  24  24  22 171 160]",[ 44  22 169 171 170  52 126 143]
"[144  34 118 162  55  55  40  55  40 165 165 165 173 165   7 165  81  47
   5  47   5  47   5  47 123  79 124 113 124 100  93 100]",[ 18 108  18  93 108 100 165 143]
"[ 53 142  56  46 144  50  47  52  28 162  11 172  17  52  28  50  47  49
  36  49  53 145  36 169  56 162  53 169 145   5 144  88]",[144 122 102  80  88 122  46  56]
"[ 92  17 160  37  28  94  94  94  94  94  94  94  94  94  94  94  94  94
  94  89  28  89  94  94  94  94  94  94  94  94  94  94]",[ 94  94  94 125  23  16 113  47]
"[ 73  36 154  35  53 164  73  88 144  35  73  88  35  59 144  82 102  55
  59 154  79  35 164  79  59  82  55 102  80 144  88 122]",[144 122  80  88 122  38  36 122]
"[119 163 111  59 148   0 119 130 118   0  53  69  98  77  98  55  69  77
  69  53 101  69 148  55 163  61 156  24  24 143  15  97]",[ 25 174 174 172  91 174  53  69]
"[ 50  46  17 143  50  21  15  38  50  21  37 142  50  80  47  50  89  50
  80  89  50  21  17  50  38  17 145  42 145  92 145  42]",[145  56  17 145  42 145 116  37]
"[140 151  33 151  33  48 138  26 116  39 138  51   4 116 138   8 166 149
  33  33 166 116  51 166  39   8 138 159  39 138 116  51]",[  8  25  25 170  25  30  39 138]
"[ 80 170 168  69 170  69  92  21  69  17  21  69  92  21  69  37 142  69
  17 142  92  69  99 142  50  69  92  21  69  99  21  92]",[ 17  21  37 179  89  21 179  89]
"[ 56   2 142  90  51 176 169  37 171 160 126 180  99  97 160 117  12 176
  12 176  12 176  96 146  96 146  96 146 132  49  76 172]",[ 99 172  97  76 165  38  18  80]
"[ 42  38 145  80 172  82  56  38 145 122  38  46  96  38  46  56  10  46
  56 162 112  56 162  42  17 145  42 145 123 172 145 145]",[171 145 171  15 162 171 145  42]
"[161  34 161  34 161  34 161 131  39 131  34 131  34 131  34 125  64 125
  64 125  64 161   4  20 116  66  51  61  51   8   8 170]",[169  37 172  17  22  92  76  99]
"[  8  50 170  58  89 170 159  50 170  39  89 170  50 170  58  89 169 126
 169   8  89 170  50 170  33  89 126  99 126 120  89  50]",[ 50  51  89  99 160  99  90  89]
"[ 82 136 102 129  80 139 122 132  38  46  56  29 162 172 171 136  52 145
 136  50 129  52 145  50  18  42  11  17 152  42  17  42]",[ 42  17 165  42 165  17  42 165]
"[ 93  92 126  52 126  92 126  92 126 162  52  93 126 117  92 113  22 113
  50 170  21  11 170 171  46 160 170 171 162  89 170 171]",[ 47 170 171 162 170 171  22  92]
"[ 43 135 176 135 176 135 176  66   8  66   8  45  58  33 177 176 125 157
 125 157 125 157 150 157 150 157 150 157 125 116 125 116]",[159 173 161 150 116 131 159 131]
"[124  11 181 162 124 160  54 171 117 160  54 171 117 160  54 171 117 160
  54 171 117 160  54 171 117 160  54 171 117 160  54 171]",[160  54 171 117  90  90 103 103]
"[ 98 125  98  84  84  84 103  20  20  20  86 121 121 121   8 125  16 125
  46  65 125  65  79  65 100  65 171  24  86  65  86  58]",[ 58  46 135  24  47  97 113  97]
"[145  97 126 145 123  42 145  15 171 145 180  42 145 123 172 126 124  11
 126 180 172 126 160  11 126 124 171 171 165  42 171 123]",[ 52 124 126  52 165  56 171 117]
"[ 29  49  60  49  60  49  60  49  91  49 120 120 120 120  10  10  60  88
  10  10  49  96  49  96  49  96 146  96  29  49  29  49]",[ 49  29  49 120 120 120 120  10]
"[131 153 131 168 106 131 168 106 131 168 125  64 125  64 125  64 139  16
  64 139  16  64 139 122 153 122 153 122 153  63 159  63]",[ 63 159 159  36 159 144  90  70]
"[ 58  58  97  58  58  58 113  58   8 117 121 100 121 121 121 100 121 121
  79 100  79  79  79 100  79  79 121  97  58  58  58  58]",[58 58 58 58 90 58 58 51]
"[ 46  17 122  50  80  52 122  50  46  17 172  28 171 160  38 145 160  56
  52 160   2 126 160  76 145 160  56 136 117 171 107 117]",[135 117 171 170 157 171 153 157]
"[172  76  24  25  76  25 109  76 143  76  25  76  99 170 172  76  91  99
 170  98 172  76  24  25  76  25 109  76 143  76  25  76]",[170 172  76  99 170 172  76  25]
"[164 136  39  82 143  39 164 168 116 137 154 164 168 142  38  22 135 159
  67 107 110 135 159  67 107 159 110  80  51  73  35 110]",[122   2 172 169  90 142  46 120]
"[152  81 181 155 105   5   5 105 155 105  88 152 155 152  81 181 155 105
   5   5 105 155 105   0 152 155 152  79 181 155 105   5]",[105 155 105 155  47 155 129  18]
"[125  46  65 125  65  79  65 100  65 171  24  86  65  86  58  31  58  46
 135  24  47  97 113  97 113  43 101  43  51  24  51  43]",[ 24 174  24 174  43 101  43  24]
"[ 37  37  55  89 100  37  37  24 180 100  37  37  91 180  93  28  28 151
 180  44  89  89 180  89  89 180  89  89  16  47  44  89]",[ 97  87 113  44  89  89  25  97]
"[ 50  47  52  76 172  50  28 172  76 172  50  37 172 162  17 169  50  11
 169 172  97 169 145 169 162  47  52  50  52 169  50  11]",[ 50 172 145  99  97 145 162 170]
"[ 10  10  10 159   5 120 161  10 159  10  49  10  49  10  49  10  49  10
 116  10  90 159  62 103  62 157  62 157  62 157  62 157]",[157  32  43  94 176  62 157  62]
"[ 56  18  46 136 159 165 136  37 165  37 143  98  53  25 143  25 143  98
 148  29 165  29  37 165  37 143  98  53  25 143  25 143]",[148  29  53 165  29  37 165  37]
"[160  15 112  50  15 112 160  15 140 165  15 140  17  15  99  15 143  11
  15 155  47   5  28  47   5  99  47   5  28  47  79  37]",[99 47 55 11 47 79 37 47]
"[ 76  56  15 171  56 180  38  38 123 171  38 124 139  38 165 172  38  93
 139 117  46 165 122  56  93  38  76 117   2  56  93  38]",[  2  57 122  76 117   2  38 127]
"[ 99 117  76  28 107 180  76  28  99 100  76  37 143 156  76  37  11 100
 162  37  55 129 162  37 145  97  38  99  24  37  38  99]",[160 122 126 135  99 122 126 169]
"[ 11  50   4  28  42  92  42  70  28  50  11  50  28 145  42 145   7  37
 145  42 145  62 160 145  42 145  10  17 145  42 145  38]",[145  42 145  92  21 145  38  42]
"[ 75 157  75 157  30 157  30  34  30 157  30  34  30 157 153 131 153 131
 153 131  63  17  63  17  63  17  11  81  42  88  50  88]",[ 88  50 161  50 161  50 161  50]
"[136 171  57  34 180  34 180  34 180  34 180  34 180  34 171 180  34 180
  34 180  34 180  34 180  34 180 169  57  34 180  34 180]",[180  34 180  34 180  34 169 180]
"[ 88  50  22 155  87  87  87  92  22 155  87  87  87  92  22 155  87  87
  87  92  22  57  86  86  86  92  86  57  92  86  84 169]",[ 79 169 135  24 169  46  44  16]
"[ 67 102  90  80 139  21  38  90  46  76  90 162 172  90 126 145 120  17
 172  51 126 145  17 172 140 126 145  17 172 126 145  17]",[116 145 170  71  92  22 120 145]
"[142 169  38 145 162  11  76  99 162  11 169  37 145  15 142 169  38 145
  74 124 162  11  80 126 142 145 122  52  38 169  74 124]",[ 11  80 126 142 145 122  52  38]
"[132 136 109 136 132 156  49 156  49 132 146 132  49 132 143 132 159 159
 112 112  49 136 112 112 132  12 146 132 146 132 159 159]",[112  49 136 112 112 132  12  71]
"[ 16  47  44  89  25  97  87 113  44  89  89  25  97  44  89  89  16  47
  44  89  89 151 180  44  89  89 170  91   6  89  89  89]",[89 89 89 89 89 89 89 68]
"[126 171 176  71 176  71 176  71 176  71 176  71 176  71 158  44 139  93
 158 100 139 117 158 165 139 113 158 124 139  97 158 123]",[ 47 158 180 139  15 158  71  71]
"[ 47 100  47  60  40  47 100  60  40  60  93  40  18  60 155 156 105 156
 100 105 100  55 156  24  55 156  55 156  65 156 105 156]",[105 100 156 156  24 156  46  38]
"[ 17  17  29  29  13  13   7   7 144  88 144  88 102 144  80  59  88  80
 139 144 102  80  88 122  46 144  38  88  46  38 144  46]",[ 88  38  46 143  56 162  53 172]
"[ 15  35  73 102   9  82  49 164  73  49  73 164  73 164  82  80  49  82
 164  73  49 164  82 164  82  80  56  49  38  80  82  49]",[ 38  80  38  56 172  49  56  38]
"[ 12  17 124  17  12   1  12   1  12 124  12  17 124  17  12   1  12   1
  40 100  40  47 100  47  60  40  55  60  40  60  40  60]",[100  40  47 100  47  60  40  47]
"[ 76  76 151   8  99  17  99 170 172  76  17  99  50 109  98 151  25  63
 179  60  77  55 172 156 169 101 171  25  25 151  25  97]",[ 97  89  17  99 165  97  97  47]
"[ 47   5  47  77  37  77  37  79  65  79  65  75  55 156  24 169  37 172
  17 169  37 145  15  99  97 169  37  38 145  38 145  76]",[169 170 145  99  37  99 145 169]
"[142  67  67  21  87 168 168  21 128  80  80  21 139 139  21 142 142 129
 139 139 129 142 142  78  78 139 139  78  78 142 142  69]",[ 21  21  91 128  21  21 147  92]
"[ 40 129 173 116 150 116  28  93  47 123 124 165 117  93 162 181  11  70
  50  52  11 162 181  11  42 169  11 162  47 144 106  56]",[118 153  46 124 144 106  56  93]
"[ 12  38  57 143  45   2  45  86  45  86  45  86  45 171 117  12  12  12
  12  12  12  12  12  12  12 171 117 115 107 115 107 115]",[115 107 115 107 171 127 146  62]
"[154  67 154  95  61 154 100  95 154  95  61  95  61  73 154 104 164  59
  67 102  80  65 148 148  76 162 172 169   9  57  95   9]",[ 43 180  95  43 180 137   9 154]
"[ 64  64  64  64  64  64  64 157 157 131 131  30  30 129 129 158 158 144
 144  87  87  64  64 157 157 131 131  30  30 129 129 158]",[144 144  87  87 149  51  74  33]
"[ 19  80  67 151  80 151  80 151 142 151 142 151  21 151  21  38  38  19
  21  19  21  25  46  25  46 172  76 172  46  76 172  19]",[19 19 19 19 19 19 47 19]
"[ 21  67  80   2  67  21 104  67   2  80  21  67  80  67   2 104  67  80
  21  67  80  67   2 104  67 168  21  59 168  59  46 104]",[139  38 102 139 102  46 164 102]
"[169 133  76  38 145 169 142  76  21 170 171  76  21  51 170 171  51  76
  21  58 170 171 103  76  21 170 171   8  76  38 145 169]",[ 38  67 145 169  67  76  38  67]
"[135  78 180  97 176 180  78  86  56 177 176   2 180 177 117 180 135 139
 180 168 113 180 142  14 180 168 168 180  97 176 180  45]",[135 176   2 180 135 117 180 135]
"[180  21   2  56 162  22 162  54   2  56 162 117  22 171  52 170 126  50
  48 170 126  50 113  11  92 160  28  89 180  57  89  28]",[ 69  11  92 160  28  89 180  57]
"[ 42 126 180 126 126 142 170 170 126 139  50 126 169 168  42 126 172 180
 126  76  42 126  22 169 126  42 126 180 126 126 142 170]",[126 139  50 126 169 168  42 126]
"[169 143 162 172 169  17  52 145  76  99  46  50  76  99 172  17  52  28
  50  47  99  97  50  47  99  97  50  47  99  97  50  47]",[ 92  46  50  76  99  22  92 170]
"[ 22  46  21  22 170  92  22  46  21 172 170  50 172  76   2 172 126  44
 172  22   2 169 126 100 169  22  46 169  50 113 169 172]",[ 52  50  47  52  76 172  50  28]
"[ 52 173 172   5  50 172  52 172  80  50 172  52 172 126 172  52 142 172
 122  50 172  52 172 122  99 172  52  53 172  92 122 169]",[ 50  91 169 168  17  80 169 168]
"[ 61 156  24  24 143  15  97  91  25 174 174 172  91 174  53  69  98  87
  55  22  69  87 119  97 101  53 151  97 130 119 169 170]",[ 65  89  91  69  65 143 179 113]
"[145 123 127  47 155 123 127 124 181  89  44  15  18  47 155 136  47  15
 136  28 160  17 136 129  42  50  15 145  47  52 123 171]",[172 165 162  56  46  38 122 139]
"[171  71 162  50  22 171  43 126 180  57 126 180 178 126 180  57 126 180
 126 180 177 117 180 135 171 180  22 180 113 169  14 180]",[ 22 180  97 176 180  45  86 135]
"[ 42  11 169  37 172  17 169  37 145  15  42 123  17 165  37 100  17 165
  37 100  17 165  37 100  17 165 170  89 172  17 170  89]",[ 97  17 165  89  44  17 165  89]
"[139 142  33 139 168  33  67 168  67  59  33 110  59  33 110   8  33 116
  51 116 116   8 103   8 103 116  33 116  51  90  51  51]",[ 58  33  58  51 116  51  39 116]
"[  1 107   1 107  39 107  39 107  39 107  39 136  53 136  53 136  53 136
  53 136  53  30 103  30 103  30 103  30 103 129  65 129]",[ 12 161  12 161  91   6  91   6]
"[104 110  82  67 168 139  27 168 102  27  82 110  12 160  82 102  12 160
 168 139 122  38   2  56 136 160 162  22 171 169 171  22]",[160 162  56   2  38 142 139  27]
"[ 50 113  46  39  16  46  50  46  39  16  46 126   2 153 161   2  22  33
 168 107  39 168 126   2  39 153   2 126   2 159  36   2]",[103   2  43  33   2  76  51  67]
"[100  85 165 124  61  97  79 100  61  97  86 100  85 165 124 121  97  79
 100 121  97 147 113 147 113  84 180  84 180   5  47   5]",[77 37 77 37 79 65 79 65]
"[ 76 170  25  99 170 172  76 170  56 170  46 113  50 170  89  46  46  50
 170  89  46  76  47 170 171  92  22  22 170 171  92  76]",[180  52 169  92  76  46 169  22]
"[ 67  59  33 110  59  33 110   8  33 116  51 116 116   8 103   8 103 116
  33 116  51  90  51  51  33  58  33  58  51 116  51  39]",[159 116  39  39  51  39 103  51]
